diversion_flows		
channel	month	flow
966	11	3531.47
966	12	3531.47
966	1	3531.47
966	2	3531.47
966	3	0
967	4	0
967	5	0
967	6	0
967	7	3531.47
967	8	3531.47
967	9	3531.47
967	10	3531.47
967	11	3531.47
967	12	3531.47
967	1	3531.47
967	2	3531.47
967	3	0
969	4	0
969	5	0
969	6	0
969	7	3531.47
969	8	3531.47
969	9	3531.47
969	10	3531.47
969	11	3531.47
969	12	3531.47
969	1	3531.47
969	2	3531.47
969	3	0
971	4	0
971	5	0
971	6	0
971	7	3531.47
971	8	3531.47
971	9	3531.47
971	10	3531.47
971	11	3531.47
971	12	3531.47
971	1	3531.47
971	2	3531.47
971	3	0
866	4	0
866	5	0
866	6	0
866	7	3531.47
